Customer_ID,Age,Annual_Income,Monthly_Spend,Purchase_Freq,Tenure_Years,Gender,Region,Category_Pref
C1000,20,23944,25.18,2.9,1.3,Female,West,Home
C1001,37,69038,37.05,9.8,3.4,Female,East,Electronics
C1002,54,68571,65.99,4.1,3.0,Male,South,Electronics
C1003,38,60602,44.33,8.6,3.2,Male,East,Home
C1004,40,85531,63.52,7.5,5.8,Female,North,Sports
C1005,30,57609,44.76,4.0,3.4,Male,South,Home
C1006,24,32067,28.87,2.5,0.4,Male,South,Fashion
C1007,48,89093,72.95,9.2,6.2,Male,West,Home
C1008,60,65913,87.55,14.8,10.9,Male,North,Electronics
C1009,40,49365,46.47,7.3,3.7,Male,West,Home
C1010,45,60144,45.32,7.2,5.6,Male,South,Grocery
C1011,56,72325,91.67,10.8,9.4,Female,North,Fashion
C1012,22,35838,23.95,2.1,0.7,Male,South,Home
C1013,28,54565,27.72,8.0,2.2,Male,North,Electronics
C1014,41,86827,69.02,3.2,12.0,Female,South,Fashion
C1015,23,27837,29.38,2.2,1.4,Male,East,Electronics
C1016,38,69292,26.13,7.7,5.4,Male,East,Sports
C1017,37,63392,39.85,7.0,2.8,Female,West,Grocery
C1018,68,100280,76.99,19.9,8.5,Male,East,Sports
C1019,38,48773,71.53,9.7,4.0,Male,South,Grocery
C1020,27,25845,15.72,4.5,1.5,Female,South,Home
C1021,40,53528,43.44,8.2,4.3,Male,East,Fashion
C1022,34,52001,42.3,6.4,2.7,Female,West,Home
C1023,23,33854,16.58,4.2,1.6,Female,East,Grocery
C1024,47,92958,50.4,5.5,6.7,Male,North,Grocery
C1025,71,102712,77.51,11.8,8.2,Female,North,Grocery
C1026,52,66830,55.15,8.4,5.1,Female,North,Electronics
C1027,46,79924,42.73,6.9,6.6,Male,East,Fashion
C1028,54,94014,90.18,10.2,9.4,Female,East,Home
C1029,45,93467,69.49,9.6,3.9,Male,East,Home
C1030,65,104124,72.13,13.2,9.4,Female,North,Sports
C1031,44,67031,51.77,5.0,1.7,Male,West,Grocery
C1032,24,19809,9.64,3.1,0.1,Male,South,Grocery
C1033,46,81748,65.05,5.2,5.6,Male,East,Grocery
C1034,34,73328,44.79,8.5,3.6,Female,West,Home
C1035,43,79714,70.88,8.5,5.2,Male,South,Sports
C1036,27,41460,48.86,7.0,3.4,Male,South,Electronics
C1037,51,86816,83.32,14.1,10.9,Male,South,Fashion
C1038,36,69791,33.1,7.2,2.8,Female,West,Electronics
C1039,29,57780,43.24,7.6,2.4,Female,West,Home
C1040,23,30242,28.4,3.1,1.3,Female,North,Grocery
C1041,19,32852,37.14,2.0,0.3,Female,West,Fashion
C1042,64,95322,102.73,13.3,4.2,Female,West,Home
C1043,62,95557,66.38,13.3,10.7,Male,West,Home
C1044,38,58780,64.67,2.8,3.7,Female,South,Home
C1045,46,77858,64.59,11.1,4.2,Female,East,Fashion
C1046,26,25750,21.91,2.6,0.9,Female,North,Fashion
C1047,26,39383,11.68,2.0,1.8,Female,East,Sports
C1048,28,49374,28.04,4.3,4.2,Male,East,Sports
C1049,41,86087,53.7,9.0,6.6,Male,West,Electronics
C1050,46,69477,42.82,9.6,2.3,Female,North,Fashion
C1051,44,61555,87.96,10.4,4.6,Female,East,Fashion
C1052,53,97358,76.24,13.6,9.0,Female,East,Fashion
C1053,62,86883,110.06,11.4,6.5,Female,North,Sports
C1054,41,68352,61.51,8.8,3.1,Female,West,Home
C1055,58,74835,55.92,5.6,4.4,Male,East,Grocery
C1056,47,59297,67.13,6.4,3.4,Female,South,Sports
C1057,63,68614,69.5,11.7,7.7,Male,East,Fashion
C1058,44,89205,56.35,11.0,6.8,Male,South,Sports
C1059,29,50803,56.02,4.2,2.8,Male,West,Electronics
C1060,51,88292,117.01,4.4,9.1,Female,East,Fashion
C1061,48,65172,31.76,5.1,3.0,Male,North,Electronics
C1062,47,80839,84.53,7.4,4.7,Male,North,Fashion
C1063,25,20975,23.49,4.1,1.1,Female,East,Sports
C1064,23,25389,5.0,4.4,0.5,Male,West,Home
C1065,53,77830,88.0,15.4,7.6,Female,West,Grocery
C1066,29,53520,61.37,6.4,3.5,Female,North,Electronics
C1067,61,91626,116.11,15.2,9.6,Female,East,Sports
C1068,25,25697,10.19,3.5,1.2,Female,West,Home
C1069,30,27959,11.04,2.7,0.7,Male,North,Sports
C1070,47,97992,88.21,13.9,5.8,Female,South,Electronics
C1071,37,53077,33.21,5.1,1.6,Male,East,Grocery
C1072,29,53735,64.36,4.7,3.7,Female,South,Sports
C1073,64,86598,64.89,12.7,7.9,Male,South,Fashion
C1074,41,70212,64.86,10.0,4.7,Female,West,Home
C1075,37,85666,95.2,8.1,2.8,Male,West,Sports
C1076,34,55976,45.91,7.5,3.4,Male,West,Home
C1077,32,63753,48.95,7.7,3.7,Male,East,Fashion
C1078,50,62232,77.58,10.3,3.8,Male,South,Grocery
C1079,30,38412,48.37,5.3,2.9,Female,East,Grocery
C1080,37,58914,26.15,6.6,4.4,Male,West,Fashion
C1081,24,29669,23.19,3.3,1.2,Female,South,Home
C1082,41,58390,32.71,11.7,7.1,Female,East,Sports
C1083,52,88821,59.52,8.8,4.9,Female,East,Fashion
C1084,48,70798,46.85,8.8,6.0,Male,North,Electronics
C1085,38,48676,58.27,6.2,5.4,Male,East,Home
C1086,32,52112,46.26,7.2,1.4,Female,West,Grocery
C1087,39,44186,55.0,7.4,4.5,Male,East,Fashion
C1088,54,97293,97.93,11.7,11.3,Male,South,Grocery
C1089,38,44214,52.61,7.5,3.7,Female,East,Home
C1090,36,46147,29.12,5.3,3.2,Female,North,Grocery
C1091,51,86697,90.55,11.9,7.5,Female,South,Fashion
C1092,18,27116,33.89,2.9,1.4,Male,South,Home
C1093,26,25106,5.0,5.1,0.5,Female,North,Electronics
C1094,39,63114,64.54,9.4,3.7,Male,West,Fashion
C1095,59,94427,72.81,14.6,6.5,Male,South,Sports
C1096,36,69375,74.14,12.4,4.3,Female,West,Fashion
C1097,28,36006,17.1,3.7,1.1,Male,South,Home
C1098,48,70377,53.66,6.0,5.4,Male,South,Fashion
C1099,43,102802,83.26,12.8,5.4,Male,West,Electronics
C1100,27,47404,59.73,7.0,1.7,Female,South,Electronics
C1101,66,89642,107.51,11.5,8.8,Female,West,Sports
C1102,22,34151,17.93,2.2,0.8,Female,North,Grocery
C1103,51,81324,48.62,7.8,4.0,Female,West,Home
C1104,27,34178,33.47,3.0,0.7,Male,North,Home
C1105,18,33271,18.47,2.7,0.7,Male,South,Grocery
C1106,37,89533,35.37,9.9,6.0,Male,West,Electronics
C1107,43,83896,60.42,7.6,4.1,Male,South,Electronics
C1108,30,21652,24.18,4.2,1.0,Female,West,Fashion
C1109,45,76777,67.0,6.2,2.4,Female,North,Sports
C1110,45,71908,51.52,5.8,9.7,Male,North,Sports
C1111,57,74668,87.07,11.6,6.7,Male,West,Sports
C1112,27,69166,34.15,5.6,3.3,Male,North,Fashion
C1113,47,105087,77.59,14.0,6.4,Male,South,Sports
C1114,56,96537,101.54,13.8,10.1,Female,South,Grocery
C1115,50,97920,80.38,11.8,6.6,Male,East,Fashion
C1116,50,74653,67.23,7.8,6.3,Male,North,Grocery
C1117,58,102745,74.19,8.4,9.6,Female,South,Fashion
C1118,67,87168,80.26,12.6,5.2,Male,West,Sports
C1119,33,62485,33.14,8.0,5.0,Female,North,Grocery
C1120,18,25462,14.49,1.1,0.5,Male,South,Grocery
C1121,36,53034,42.92,3.9,2.8,Female,North,Grocery
C1122,63,116611,87.1,11.5,8.1,Female,West,Fashion
C1123,69,92348,52.54,10.1,8.1,Female,South,Home
C1124,25,24351,16.33,4.8,0.8,Male,East,Sports
C1125,38,63826,59.97,5.8,3.3,Female,East,Grocery
C1126,47,84843,59.18,8.9,5.0,Male,North,Home
C1127,31,32814,14.82,3.0,0.8,Male,West,Sports
C1128,18,26980,31.04,4.2,1.1,Male,South,Sports
C1129,23,29748,21.58,2.8,0.6,Male,West,Grocery
C1130,26,30432,15.0,2.9,1.4,Female,South,Grocery
C1131,18,75480,51.47,6.2,4.2,Female,North,Fashion
C1132,51,88145,98.43,11.5,9.6,Female,South,Home
C1133,38,60703,56.29,8.4,4.5,Female,West,Home
C1134,57,88231,93.23,12.3,4.8,Female,West,Grocery
C1135,51,100105,73.29,7.9,11.4,Male,North,Sports
C1136,36,52028,44.25,4.2,3.2,Male,West,Grocery
C1137,30,50652,25.26,4.8,4.1,Female,South,Sports
C1138,32,52091,34.98,7.4,5.1,Male,North,Sports
C1139,47,80072,54.83,9.0,3.6,Female,South,Grocery
C1140,58,95344,101.34,15.5,6.9,Male,West,Electronics
C1141,45,74255,67.88,8.1,6.0,Male,North,Home
C1142,33,33792,52.14,7.7,2.8,Male,South,Sports
C1143,29,24959,29.29,3.5,0.9,Male,West,Sports
C1144,40,68622,44.5,10.9,6.0,Male,West,Electronics
C1145,50,116572,117.11,11.9,7.4,Female,East,Fashion
C1146,41,58946,65.07,5.7,3.9,Male,West,Electronics
C1147,27,58554,33.38,5.5,3.6,Female,South,Electronics
C1148,65,113786,76.02,15.3,10.2,Male,North,Sports
C1149,49,68872,82.95,11.6,4.1,Male,East,Home
C1150,25,27778,27.33,3.0,0.2,Male,West,Electronics
C1151,31,56566,38.31,5.6,2.3,Female,West,Fashion
C1152,34,24372,23.97,2.9,0.5,Male,West,Grocery
C1153,53,76467,50.43,12.2,3.5,Female,South,Electronics
C1154,40,74505,67.41,8.7,6.0,Male,East,Electronics
C1155,48,103500,108.93,13.4,9.7,Female,South,Fashion
C1156,44,83339,37.46,8.4,6.2,Male,East,Home
C1157,37,54806,72.03,8.6,2.7,Female,North,Electronics
C1158,35,44991,51.63,4.6,3.0,Female,South,Electronics
C1159,52,108407,48.31,16.1,11.0,Female,South,Home
C1160,48,77029,64.77,8.7,3.5,Male,North,Fashion
C1161,31,50681,56.57,6.7,1.1,Male,East,Electronics
C1162,43,69690,61.63,9.9,4.4,Male,West,Home
C1163,26,52923,43.2,5.8,3.2,Female,North,Electronics
C1164,23,35187,25.86,1.0,1.5,Female,West,Grocery
C1165,68,70499,126.05,14.3,6.6,Female,West,Sports
C1166,45,73230,62.41,6.8,4.8,Male,North,Grocery
C1167,57,99112,93.56,5.6,6.8,Male,East,Electronics
C1168,43,65016,60.46,9.2,5.1,Male,West,Fashion
C1169,25,30357,19.43,1.9,1.2,Female,North,Sports
C1170,22,33192,17.94,3.1,1.4,Female,South,Grocery
C1171,24,32649,28.63,4.7,0.7,Female,South,Home
C1172,31,48956,35.76,7.0,1.7,Male,South,Fashion
C1173,36,99553,79.01,7.3,3.7,Female,North,Grocery
C1174,20,21862,20.3,4.9,1.9,Female,South,Home
C1175,30,60687,51.6,6.6,2.6,Male,West,Electronics
C1176,35,62861,38.36,3.9,2.0,Female,South,Home
C1177,40,90505,55.8,6.7,5.8,Female,South,Grocery
C1178,18,34147,27.97,3.5,0.7,Female,West,Grocery
C1179,39,81218,83.2,7.5,3.4,Female,South,Electronics
C1180,37,81105,79.35,10.5,3.5,Male,West,Home
C1181,39,55208,32.82,8.3,1.4,Male,South,Home
C1182,25,31178,7.55,1.4,1.3,Female,West,Electronics
C1183,29,54231,33.95,2.8,1.9,Male,South,Home
C1184,44,55111,36.74,6.3,2.6,Female,West,Electronics
C1185,32,56366,42.78,4.1,2.4,Female,North,Fashion
C1186,28,27940,14.63,3.4,0.6,Female,West,Grocery
C1187,62,99526,60.14,11.1,7.9,Female,South,Fashion
C1188,39,48777,41.63,5.4,5.1,Male,South,Sports
C1189,43,50107,47.81,6.4,2.8,Male,East,Sports
C1190,69,82745,75.52,12.8,7.7,Male,West,Sports
C1191,42,76664,79.24,9.3,1.8,Male,North,Electronics
C1192,46,81815,60.65,7.4,7.1,Male,West,Home
C1193,24,26746,25.59,2.8,0.1,Male,West,Fashion
C1194,25,22607,32.01,2.3,0.9,Female,North,Fashion
C1195,40,54737,28.33,1.8,3.5,Female,West,Fashion
C1196,50,69823,54.96,7.9,4.5,Male,North,Fashion
C1197,35,55147,45.53,4.9,4.4,Male,North,Sports
C1198,37,67745,64.6,9.7,3.0,Female,West,Fashion
C1199,40,54226,36.69,5.8,3.6,Male,West,Home
C1200,45,84725,60.25,9.4,5.1,Male,South,Sports
C1201,20,34355,29.19,1.0,1.2,Male,South,Fashion
C1202,60,79636,91.93,12.9,11.5,Female,East,Electronics
C1203,26,34630,31.19,3.8,0.7,Male,East,Grocery
C1204,33,85807,45.03,6.1,5.7,Female,West,Grocery
C1205,61,120959,75.49,12.4,5.7,Male,North,Grocery
C1206,30,50410,15.01,8.6,1.9,Female,East,Sports
C1207,31,56478,50.03,7.9,2.6,Male,West,Fashion
C1208,46,68768,47.45,7.7,6.6,Male,East,Sports
C1209,19,33784,27.98,2.8,1.2,Female,North,Home
C1210,56,102690,101.75,9.4,7.4,Female,West,Electronics
C1211,22,28242,22.77,2.5,1.5,Female,North,Electronics
C1212,29,32405,21.61,2.6,0.1,Female,West,Grocery
C1213,40,67322,87.36,9.6,4.5,Female,East,Grocery
C1214,49,75283,69.01,11.2,6.0,Female,South,Grocery
