Customer_ID,Age,Annual_Income,Monthly_Spend,Purchase_Freq,Tenure_Years,Gender,Region,Category_Pref,Cluster,Segment,PCA1,PCA2
C1000,20,23944,25.18,2.9,1.3,Female,West,Home,1,Budget Shoppers,-2.829682919224842,-0.1263454009990111
C1001,37,69038,37.05,9.8,3.4,Female,East,Electronics,2,Occasional Buyers,-0.05354865158096382,0.8661043821219482
C1002,54,68571,65.99,4.1,3.0,Male,South,Electronics,3,Regular Customers,0.31239547153987135,-0.7891581201133504
C1003,38,60602,44.33,8.6,3.2,Male,East,Home,2,Occasional Buyers,-0.2221137822386625,0.5166559475194317
C1004,40,85531,63.52,7.5,5.8,Female,North,Sports,3,Regular Customers,0.9255558187085613,-0.4174210059451278
C1005,30,57609,44.76,4.0,3.4,Male,South,Home,2,Occasional Buyers,-1.053920948007699,-0.5278923369114853
C1006,24,32067,28.87,2.5,0.4,Male,South,Fashion,1,Budget Shoppers,-2.6634801021600016,-0.18685627109619485
C1007,48,89093,72.95,9.2,6.2,Male,West,Home,3,Regular Customers,1.6961845617179554,-0.24907769609876151
C1008,60,65913,87.55,14.8,10.9,Male,North,Electronics,0,Premium Loyalists,3.3358596740177093,0.2728918603148759
C1009,40,49365,46.47,7.3,3.7,Male,West,Home,2,Occasional Buyers,-0.3934372377246248,0.17828678799421857
C1010,45,60144,45.32,7.2,5.6,Male,South,Grocery,3,Regular Customers,0.2582722208333637,-0.032175717245139054
C1011,56,72325,91.67,10.8,9.4,Female,North,Fashion,0,Premium Loyalists,2.6814128781556983,-0.5336880770953208
C1012,22,35838,23.95,2.1,0.7,Male,South,Home,1,Budget Shoppers,-2.745857235964527,-0.22960651418091205
C1013,28,54565,27.72,8.0,2.2,Male,North,Electronics,2,Occasional Buyers,-1.2005035799807164,0.7832395681338574
C1014,41,86827,69.02,3.2,12.0,Female,South,Fashion,3,Regular Customers,1.5738220812707289,-2.1171007440840715
C1015,23,27837,29.38,2.2,1.4,Male,East,Electronics,1,Budget Shoppers,-2.643972234177359,-0.3636639510612056
C1016,38,69292,26.13,7.7,5.4,Male,East,Sports,2,Occasional Buyers,-0.11957337479221865,0.40897390789268784
C1017,37,63392,39.85,7.0,2.8,Female,West,Grocery,2,Occasional Buyers,-0.5297071141774112,0.29062572777812795
C1018,68,100280,76.99,19.9,8.5,Male,East,Sports,0,Premium Loyalists,4.286275012992923,1.7804681728344318
C1019,38,48773,71.53,9.7,4.0,Male,South,Grocery,3,Regular Customers,0.27131558606449174,0.1782083541533057
C1020,27,25845,15.72,4.5,1.5,Female,South,Home,1,Budget Shoppers,-2.4878181682468123,0.40042191124207566
C1021,40,53528,43.44,8.2,4.3,Male,East,Fashion,2,Occasional Buyers,-0.16757340429951267,0.35381316818508496
C1022,34,52001,42.3,6.4,2.7,Female,West,Home,2,Occasional Buyers,-0.8924119352112614,0.14071030356510122
C1023,23,33854,16.58,4.2,1.6,Female,East,Grocery,1,Budget Shoppers,-2.485693212900982,0.2723908714609802
C1024,47,92958,50.4,5.5,6.7,Male,North,Grocery,3,Regular Customers,1.0057052747624737,-0.6833553668994263
C1025,71,102712,77.51,11.8,8.2,Female,North,Grocery,0,Premium Loyalists,3.466506118642067,0.07133802059380785
C1026,52,66830,55.15,8.4,5.1,Female,North,Electronics,3,Regular Customers,0.8566286046458749,0.1071764191286114
C1027,46,79924,42.73,6.9,6.6,Male,East,Fashion,3,Regular Customers,0.7434448642333772,-0.19933291386236096
C1028,54,94014,90.18,10.2,9.4,Female,East,Home,0,Premium Loyalists,2.9191873563425847,-0.6949898775991397
C1029,45,93467,69.49,9.6,3.9,Male,East,Home,3,Regular Customers,1.2905499374677736,0.12884577115552337
C1030,65,104124,72.13,13.2,9.4,Female,North,Sports,0,Premium Loyalists,3.5408713268858976,0.31448322138596063
C1031,44,67031,51.77,5.0,1.7,Male,West,Grocery,2,Occasional Buyers,-0.4172170268174054,-0.22415088781471787
C1032,24,19809,9.64,3.1,0.1,Male,South,Grocery,1,Budget Shoppers,-3.1947459068019253,0.3689442062302315
C1033,46,81748,65.05,5.2,5.6,Male,East,Grocery,3,Regular Customers,0.7983076452792475,-0.8836196467773458
C1034,34,73328,44.79,8.5,3.6,Female,West,Home,2,Occasional Buyers,-0.06802018538479744,0.39521931088938467
C1035,43,79714,70.88,8.5,5.2,Male,South,Sports,3,Regular Customers,1.0678945758627827,-0.2503680790244158
C1036,27,41460,48.86,7.0,3.4,Male,South,Electronics,2,Occasional Buyers,-1.046675288817797,0.06430178975348619
C1037,51,86816,83.32,14.1,10.9,Male,South,Fashion,0,Premium Loyalists,3.2514087873817163,0.11394730632403084
C1038,36,69791,33.1,7.2,2.8,Female,West,Electronics,2,Occasional Buyers,-0.537227316780146,0.4419630108699964
C1039,29,57780,43.24,7.6,2.4,Female,West,Home,2,Occasional Buyers,-0.8572781942443917,0.3776898098489738
C1040,23,30242,28.4,3.1,1.3,Female,North,Grocery,1,Budget Shoppers,-2.5280996457378047,-0.1467835704986466
C1041,19,32852,37.14,2.0,0.3,Female,West,Fashion,1,Budget Shoppers,-2.761399288243975,-0.46363159967220197
C1042,64,95322,102.73,13.3,4.2,Female,West,Home,0,Premium Loyalists,3.038133666037459,0.3369167853942764
C1043,62,95557,66.38,13.3,10.7,Male,West,Home,0,Premium Loyalists,3.396729095311368,0.3116021645538828
C1044,38,58780,64.67,2.8,3.7,Female,South,Home,2,Occasional Buyers,-0.5009440478599373,-1.1643715334667926
C1045,46,77858,64.59,11.1,4.2,Female,East,Fashion,3,Regular Customers,1.1739655651732357,0.5531113804934412
C1046,26,25750,21.91,2.6,0.9,Female,North,Fashion,1,Budget Shoppers,-2.735575567560605,-0.06382867491291982
C1047,26,39383,11.68,2.0,1.8,Female,East,Sports,1,Budget Shoppers,-2.5798582778110024,-0.1290519226759556
C1048,28,49374,28.04,4.3,4.2,Male,East,Sports,2,Occasional Buyers,-1.3981466350386649,-0.2218643299148004
C1049,41,86087,53.7,9.0,6.6,Male,West,Electronics,3,Regular Customers,1.1065416051049912,0.007013200134221578
C1050,46,69477,42.82,9.6,2.3,Female,North,Fashion,3,Regular Customers,0.1743692379715053,0.8707392770681549
C1051,44,61555,87.96,10.4,4.6,Female,East,Fashion,3,Regular Customers,1.1769310243402333,-0.0534544497861894
C1052,53,97358,76.24,13.6,9.0,Female,East,Fashion,0,Premium Loyalists,3.038170190609367,0.33054699115237424
C1053,62,86883,110.06,11.4,6.5,Female,North,Sports,0,Premium Loyalists,3.0822172948751696,-0.4481533839031935
C1054,41,68352,61.51,8.8,3.1,Female,West,Home,3,Regular Customers,0.32601221540699343,0.23867184360217422
C1055,58,74835,55.92,5.6,4.4,Male,East,Grocery,3,Regular Customers,0.7983096773664818,-0.42599452659420584
C1056,47,59297,67.13,6.4,3.4,Female,South,Sports,3,Regular Customers,0.23810535102667799,-0.3682293328408583
C1057,63,68614,69.5,11.7,7.7,Male,East,Fashion,0,Premium Loyalists,2.3201739758504103,0.30385806157025896
C1058,44,89205,56.35,11.0,6.8,Male,South,Sports,3,Regular Customers,1.5786408627736814,0.36973793848317943
C1059,29,50803,56.02,4.2,2.8,Male,West,Electronics,2,Occasional Buyers,-1.0990981874593522,-0.6213880649003065
C1060,51,88292,117.01,4.4,9.1,Female,East,Fashion,0,Premium Loyalists,2.442366233742743,-2.415788850142273
C1061,48,65172,31.76,5.1,3.0,Male,North,Electronics,2,Occasional Buyers,-0.42731128006028596,0.057497664030197355
C1062,47,80839,84.53,7.4,4.7,Male,North,Fashion,3,Regular Customers,1.2552812337076968,-0.6767663874677454
C1063,25,20975,23.49,4.1,1.1,Female,East,Sports,1,Budget Shoppers,-2.6287001807205996,0.21367450957393297
C1064,23,25389,5.0,4.4,0.5,Male,West,Home,1,Budget Shoppers,-2.991278988637794,0.6749114910172502
C1065,53,77830,88.0,15.4,7.6,Female,West,Grocery,0,Premium Loyalists,2.856916830622375,0.6928350332878186
C1066,29,53520,61.37,6.4,3.5,Female,North,Electronics,2,Occasional Buyers,-0.5930413017549986,-0.3331884970513668
C1067,61,91626,116.11,15.2,9.6,Female,East,Sports,0,Premium Loyalists,4.169934985987635,-0.09958649676886845
C1068,25,25697,10.19,3.5,1.2,Female,West,Home,1,Budget Shoppers,-2.818378907580123,0.3150359736153542
C1069,30,27959,11.04,2.7,0.7,Male,North,Sports,1,Budget Shoppers,-2.7555461488602493,0.197500182331822
C1070,47,97992,88.21,13.9,5.8,Female,South,Electronics,0,Premium Loyalists,2.5608470646258668,0.4880564330876085
C1071,37,53077,33.21,5.1,1.6,Male,East,Grocery,2,Occasional Buyers,-1.244208144046722,0.16389364945282361
C1072,29,53735,64.36,4.7,3.7,Female,South,Sports,2,Occasional Buyers,-0.7024291210013875,-0.7771172948986583
C1073,64,86598,64.89,12.7,7.9,Male,South,Fashion,0,Premium Loyalists,2.7597276200350036,0.5453211325359443
C1074,41,70212,64.86,10.0,4.7,Female,West,Home,3,Regular Customers,0.811057084579412,0.25446197523940395
C1075,37,85666,95.2,8.1,2.8,Male,West,Sports,3,Regular Customers,0.9450798788580272,-0.5771751766153679
C1076,34,55976,45.91,7.5,3.4,Male,West,Home,2,Occasional Buyers,-0.519004009389268,0.22275864603135462
C1077,32,63753,48.95,7.7,3.7,Male,East,Fashion,2,Occasional Buyers,-0.32347373628356924,0.14812222749300072
C1078,50,62232,77.58,10.3,3.8,Male,South,Grocery,3,Regular Customers,1.089190993041645,0.23308117789031818
C1079,30,38412,48.37,5.3,2.9,Female,East,Grocery,2,Occasional Buyers,-1.2802593977887213,-0.2168276974161617
C1080,37,58914,26.15,6.6,4.4,Male,West,Fashion,2,Occasional Buyers,-0.6344753019732771,0.3017337655852794
C1081,24,29669,23.19,3.3,1.2,Female,South,Home,1,Budget Shoppers,-2.5839081973196367,0.01155390749382832
C1082,41,58390,32.71,11.7,7.1,Female,East,Sports,3,Regular Customers,0.6281515541114878,0.997290296164931
C1083,52,88821,59.52,8.8,4.9,Female,East,Fashion,3,Regular Customers,1.3534822151908463,0.07893236228811308
C1084,48,70798,46.85,8.8,6.0,Male,North,Electronics,3,Regular Customers,0.8375379510511399,0.22607945971683008
C1085,38,48676,58.27,6.2,5.4,Male,East,Home,2,Occasional Buyers,-0.13355030726081787,-0.4733481936875193
C1086,32,52112,46.26,7.2,1.4,Female,West,Grocery,2,Occasional Buyers,-1.0105628306025614,0.36963966453239755
C1087,39,44186,55.0,7.4,4.5,Male,East,Fashion,2,Occasional Buyers,-0.2421707606354658,-0.04083773411340155
C1088,54,97293,97.93,11.7,11.3,Male,South,Grocery,0,Premium Loyalists,3.5873576092756947,-0.7342907104942389
C1089,38,44214,52.61,7.5,3.7,Female,East,Home,2,Occasional Buyers,-0.43401015680143307,0.10850939342986249
C1090,36,46147,29.12,5.3,3.2,Female,North,Grocery,2,Occasional Buyers,-1.1990424176110581,0.1230469634464151
C1091,51,86697,90.55,11.9,7.5,Female,South,Fashion,0,Premium Loyalists,2.574378298224178,-0.12598374831808054
C1092,18,27116,33.89,2.9,1.4,Male,South,Home,1,Budget Shoppers,-2.679145419926497,-0.3187133330677368
C1093,26,25106,5.0,5.1,0.5,Female,North,Electronics,1,Budget Shoppers,-2.808836863621872,0.838749494932061
C1094,39,63114,64.54,9.4,3.7,Male,West,Fashion,3,Regular Customers,0.3733181485249534,0.24882599859130045
C1095,59,94427,72.81,14.6,6.5,Male,South,Sports,0,Premium Loyalists,2.8555624901778383,0.9146552643348692
C1096,36,69375,74.14,12.4,4.3,Female,West,Fashion,3,Regular Customers,0.9860665043309279,0.6175665614759552
C1097,28,36006,17.1,3.7,1.1,Male,South,Home,1,Budget Shoppers,-2.3959215422597575,0.22578488745534703
C1098,48,70377,53.66,6.0,5.4,Male,South,Fashion,3,Regular Customers,0.5262148392743471,-0.43806633434023284
C1099,43,102802,83.26,12.8,5.4,Male,West,Electronics,0,Premium Loyalists,2.2333988420669404,0.3605396303989532
C1100,27,47404,59.73,7.0,1.7,Female,South,Electronics,2,Occasional Buyers,-1.0244373858223084,0.028360893263185017
C1101,66,89642,107.51,11.5,8.8,Female,West,Sports,0,Premium Loyalists,3.612409807851849,-0.6175561609958756
C1102,22,34151,17.93,2.2,0.8,Female,North,Grocery,1,Budget Shoppers,-2.8512978797789583,-0.10070183566386562
C1103,51,81324,48.62,7.8,4.0,Female,West,Home,3,Regular Customers,0.7354346830532181,0.1825920319343918
C1104,27,34178,33.47,3.0,0.7,Male,North,Home,1,Budget Shoppers,-2.33399096442832,-0.1915884519086326
C1105,18,33271,18.47,2.7,0.7,Male,South,Grocery,1,Budget Shoppers,-2.959729101295499,-0.007811285923955967
C1106,37,89533,35.37,9.9,6.0,Male,West,Electronics,3,Regular Customers,0.7263731447602569,0.5877594375968747
C1107,43,83896,60.42,7.6,4.1,Male,South,Electronics,3,Regular Customers,0.68974129880013,-0.13567282395763483
C1108,30,21652,24.18,4.2,1.0,Female,West,Fashion,1,Budget Shoppers,-2.430459542650305,0.25275330726704265
C1109,45,76777,67.0,6.2,2.4,Female,North,Sports,3,Regular Customers,0.30678177010279994,-0.350733100380175
C1110,45,71908,51.52,5.8,9.7,Male,North,Sports,3,Regular Customers,1.0757231452887719,-0.9239784099744432
C1111,57,74668,87.07,11.6,6.7,Male,West,Sports,0,Premium Loyalists,2.3436870473849174,0.0172476667114353
C1112,27,69166,34.15,5.6,3.3,Male,North,Fashion,2,Occasional Buyers,-0.9567544222324422,-0.012896585465342825
C1113,47,105087,77.59,14.0,6.4,Male,South,Sports,0,Premium Loyalists,2.6210546896371336,0.6288201110415731
C1114,56,96537,101.54,13.8,10.1,Female,South,Grocery,0,Premium Loyalists,3.7556636957514815,-0.21123705978050156
C1115,50,97920,80.38,11.8,6.6,Male,East,Fashion,0,Premium Loyalists,2.420487329508243,0.11199277428860273
C1116,50,74653,67.23,7.8,6.3,Male,North,Grocery,3,Regular Customers,1.2572327031798778,-0.4086084917349581
C1117,58,102745,74.19,8.4,9.6,Female,South,Fashion,0,Premium Loyalists,2.779243295714247,-0.8035207579136588
C1118,67,87168,80.26,12.6,5.2,Male,West,Sports,0,Premium Loyalists,2.6936704902438517,0.5369402441709027
C1119,33,62485,33.14,8.0,5.0,Female,North,Grocery,2,Occasional Buyers,-0.3357664894608779,0.37869862068239496
C1120,18,25462,14.49,1.1,0.5,Male,South,Grocery,1,Budget Shoppers,-3.388363809215265,-0.23525670458833817
C1121,36,53034,42.92,3.9,2.8,Female,North,Grocery,2,Occasional Buyers,-1.0633024241657396,-0.4125028873450848
C1122,63,116611,87.1,11.5,8.1,Female,West,Fashion,0,Premium Loyalists,3.5507223975329913,-0.23198618709136395
C1123,69,92348,52.54,10.1,8.1,Female,South,Home,0,Premium Loyalists,2.5693037733398905,0.20744103254194282
C1124,25,24351,16.33,4.8,0.8,Male,East,Sports,1,Budget Shoppers,-2.654030247313342,0.5242807712193968
C1125,38,63826,59.97,5.8,3.3,Female,East,Grocery,2,Occasional Buyers,-0.20479204701699202,-0.39984932232392345
C1126,47,84843,59.18,8.9,5.0,Male,North,Home,3,Regular Customers,1.1227841060788026,0.08408894806597815
C1127,31,32814,14.82,3.0,0.8,Male,West,Sports,1,Budget Shoppers,-2.515243403125022,0.17192439316049424
C1128,18,26980,31.04,4.2,1.1,Male,South,Sports,1,Budget Shoppers,-2.627978685885852,0.047359091428859044
C1129,23,29748,21.58,2.8,0.6,Male,West,Grocery,1,Budget Shoppers,-2.7987788820575927,-0.004551011350956216
C1130,26,30432,15.0,2.9,1.4,Female,South,Grocery,1,Budget Shoppers,-2.65060519118527,0.06613344312633776
C1131,18,75480,51.47,6.2,4.2,Female,North,Fashion,2,Occasional Buyers,-0.6554142297053089,-0.36435622084040936
C1132,51,88145,98.43,11.5,9.6,Female,South,Home,0,Premium Loyalists,3.023820169036925,-0.592953013342652
C1133,38,60703,56.29,8.4,4.5,Female,West,Home,3,Regular Customers,0.1662815320429682,0.10532550349382785
C1134,57,88231,93.23,12.3,4.8,Female,West,Grocery,0,Premium Loyalists,2.4768294097901897,0.2243510966300555
C1135,51,100105,73.29,7.9,11.4,Male,North,Sports,0,Premium Loyalists,2.695195319190744,-1.1129869487376642
C1136,36,52028,44.25,4.2,3.2,Male,West,Grocery,2,Occasional Buyers,-0.9610922140375,-0.4143622238503632
C1137,30,50652,25.26,4.8,4.1,Female,South,Sports,2,Occasional Buyers,-1.3082840298908318,-0.04539591191400743
